Depth	Dataset	Tools	Total_minutes	Peak_memory
50X	dataset1	Deep_eccScan	4.4	0.4915
50X	dataset1	CircleMap	482.37	19.59
50X	dataset1	Circle_finder	33.57	6.56
50X	dataset1	ecc_finder	49.9	15.04
50X	dataset1	ECCsplorer	301.64	60.3567
50X	dataset2	Deep_eccScan	4.11	0.3597
50X	dataset2	CircleMap	385.92	19.53
50X	dataset2	Circle_finder	17.72	6.52
50X	dataset2	ecc_finder	13.57	6.64
50X	dataset2	ECCsplorer	388.95	60.3567
50X	dataset3	Deep_eccScan	5.22	0.4941
50X	dataset3	CircleMap	502.46	19.56
50X	dataset3	Circle_finder	15.9	6.52
50X	dataset3	ecc_finder	10.32	6.77
50X	dataset3	ECCsplorer	490.42	60.3567
50X	dataset4	Deep_eccScan	5.64	0.4869
50X	dataset4	CircleMap	210.09	19.59
50X	dataset4	Circle_finder	19.49	6.38
50X	dataset4	ecc_finder	31.52	11.08
50X	dataset4	ECCsplorer	365.83	60.3567
50X	dataset5	Deep_eccScan	3.75	0.9458
50X	dataset5	CircleMap	631.57	19.59
50X	dataset5	Circle_finder	47.69	6.56
50X	dataset5	ecc_finder	47.24	15.04
50X	dataset5	ECCsplorer	564.96	96.1878
50X	dataset6	Deep_eccScan	6.34	0.5554
50X	dataset6	CircleMap	643.06	19.57
50X	dataset6	Circle_finder	49.03	6.98
50X	dataset6	ecc_finder	151.31	32.15
50X	dataset6	ECCsplorer	470.22	60.3567
50X	dataset7	Deep_eccScan	4.86	0.3685
50X	dataset7	CircleMap	362.82	19.56
50X	dataset7	Circle_finder	14.02	6.85
50X	dataset7	ecc_finder	15.38	8.98
50X	dataset7	ECCsplorer	836.79	60.3567
Real_Sample	NC3	Deep_eccScan	34.4	1.0915
Real_Sample	NC3	CircleMap	169.56	19.77
Real_Sample	NC3	ecc_finder	274.27	122.46
Real_Sample	NC3	Circle_finder	226.28	8.68
Real_Sample	Hela	Deep_eccScan	58.95	0.985
Real_Sample	Hela	CircleMap	211.10	19.76
Real_Sample	Hela	ecc_finder	115.77	6.97
Real_Sample	Hela	Circle_finder	334.56	33.84
Real_Sample	C11	Deep_eccScan	64.77	1.089
Real_Sample	C11	CircleMap	358.91	21.98
Real_Sample	C11	ecc_finder	300.74	68.25
Real_Sample	C11	Circle_finder	283.90	20.44
Real_Sample	Human_Plasma	Deep_eccScan	10.64	1.012
Real_Sample	Human_Plasma	CircleMap	320.10	21.2
Real_Sample	Human_Plasma	ecc_finder	440.43	117.01
Real_Sample	Human_Plasma	Circle_finder	380.15	7.96
Real_Sample	Rat_Plasma	Deep_eccScan	36.45	0.989
Real_Sample	Rat_Plasma	CircleMap	59.01	15.6
Real_Sample	Rat_Plasma	ecc_finder	77.82	22.28
Real_Sample	Rat_Plasma	Circle_finder	67.57	6.55
Real_Sample	Mouse_Muscle	Deep_eccScan	56.45	1.014
Real_Sample	Mouse_Muscle	CircleMap	759.01	21.6
Real_Sample	Mouse_Muscle	ecc_finder	198.18	70.89
Real_Sample	Mouse_Muscle	Circle_finder	174.32	6.57
10X	dataset1	Deep_eccScan	4.16	0.4846
10X	dataset1	CircleMap	695.64	19.58
10X	dataset1	Circle_finder	8.93	6.21
10X	dataset1	ecc_finder	7.26	6.22
10X	dataset1	ECCsplorer	713.23	60.36
10X	dataset2	Deep_eccScan	5.24	0.4846
10X	dataset2	CircleMap	701.05	19.53
10X	dataset2	Circle_finder	5.21	6.3
10X	dataset2	ecc_finder	4.26	6.32
10X	dataset2	ECCsplorer	717.6	60.36
10X	dataset3	Deep_eccScan	5.5	0.4854
10X	dataset3	CircleMap	679.82	19.52
10X	dataset3	Circle_finder	4.12	6.43
10X	dataset3	ecc_finder	3.33	6.48
10X	dataset3	ECCsplorer	715.66	60.36
10X	dataset4	Deep_eccScan	4.62	0.4858
10X	dataset4	CircleMap	715.23	19.52
10X	dataset4	Circle_finder	4.49	6.17
10X	dataset4	ecc_finder	4.42	6.21
10X	dataset4	ECCsplorer	715.63	60.36
10X	dataset5	Deep_eccScan	4.34	0.4842
10X	dataset5	CircleMap	609.88	19.57
10X	dataset5	Circle_finder	12.45	6.2
10X	dataset5	ecc_finder	12.6	8.99
10X	dataset5	ECCsplorer	722.85	60.36
