Depth	Dataset	Tools	TP1	TP2	FP	TN	FN	Accuracy	Precision	Sensitivity	Specificity	F1score	False_Positive_Rate	False_Negative	Base_pair_Difference	Redundancy
5X	dataset1	Deep_EccScan	8352.0	8457.0	2.0	10000.0	1648.0	0.9175082491750824	0.9997605937275557	0.8352	0.9998000399920016	0.9101013403072901	0.0001999600079984003	0.1648	1.03	1.01
5X	dataset1	Circle_finder	8027.0	9539.0	504.0	10000.0	1473.0	0.9011697660467907	0.9409213456804595	0.8449473684210527	0.952018278750952	0.8903554988630692	0.04798172124904798	0.15505263157894736	1.05	1.19
5X	dataset1	CircleMap	8235.0	9887.0	949.0	10000.0	1765.0	0.8704472767196525	0.896668118466899	0.8235	0.9133254178463787	0.8585279399499582	0.08667458215362134	0.1765	21.41	1.2
5X	dataset1	ecc_finder	3818.0	3819.0	205.0	10000.0	6182.0	0.6838901262063846	0.9490430027342779	0.3818	0.9799118079372856	0.5445339798901804	0.020088192062714356	0.6182	2.15	1.0
5X	dataset1	ECCsplorer	4951.0	5019.0	11359.0	10000.0	5049.0	0.47676902962466916	0.3035561005518087	0.4951	0.468186712861089	0.37635879893576585	0.531813287138911	0.5049	11.99	1.01
5X	dataset2	Deep_EccScan	9085.0	9293.0	3.0	10000.0	915.0	0.9541068839674048	0.9996698943661971	0.9085	0.9997000899730081	0.9519069572506287	0.00029991002699190244	0.0915	1.08	1.02
5X	dataset2	Circle_finder	8354.0	10622.0	510.0	10000.0	1146.0	0.9172413793103448	0.9424638989169675	0.8793684210526316	0.9514747859181731	0.9098235678501416	0.048525214081826834	0.12063157894736842	1.23	1.27
5X	dataset2	CircleMap	8894.0	10765.0	1123.0	10000.0	1106.0	0.8944752165885528	0.8878905860037936	0.8894	0.8990380293086397	0.888644652045761	0.10096197069136024	0.1106	13.48	1.21
5X	dataset2	ecc_finder	5269.0	5271.0	109.0	10000.0	4731.0	0.7593117509572828	0.9797322424693194	0.5269	0.9892175289346127	0.6852646638054363	0.010782471065387279	0.4731	1.36	1.0
5X	dataset2	ECCsplorer	7076.0	7183.0	4306.0	10000.0	2924.0	0.7025425820784992	0.6216833596907397	0.7076	0.6990074094785405	0.6618651201945562	0.30099259052145955	0.2924	3.71	1.02
5X	dataset3	Deep_EccScan	9294.0	9535.0	16.0	10000.0	706.0	0.9639288569144684	0.99828141783029	0.9294	0.9984025559105432	0.9626100466079751	0.001597444089456869	0.0706	0.86	1.03
5X	dataset3	Circle_finder	8446.0	11222.0	509.0	10000.0	1054.0	0.9218851516817432	0.9431602456728085	0.8890526315789473	0.9515653249595585	0.9153075047412625	0.04843467504044153	0.11094736842105263	1.31	1.33
5X	dataset3	CircleMap	9098.0	10404.0	840.0	10000.0	902.0	0.9164107485604607	0.9154759508955524	0.9098	0.922509225092251	0.9126291503661351	0.07749077490774908	0.0902	8.09	1.14
5X	dataset3	ecc_finder	6079.0	6089.0	99.0	10000.0	3921.0	0.7999900492561819	0.9839753965684688	0.6079	0.9901970492127934	0.7515144022746941	0.009802950787206654	0.3921	1.36	1.0
5X	dataset3	ECCsplorer	8026.0	8159.0	2420.0	10000.0	1974.0	0.804014272970562	0.7683323760291021	0.8026	0.8051529790660226	0.7850924386188007	0.19484702093397746	0.1974	1.29	1.02
5X	dataset4	Deep_EccScan	8809.0	8966.0	4.0	10000.0	1191.0	0.9402619476104779	0.9995461250425508	0.8809	0.9996001599360256	0.9364800935523309	0.00039984006397441024	0.1191	1.42	1.02
5X	dataset4	Circle_finder	8289.0	10293.0	501.0	10000.0	1211.0	0.9144042797860107	0.9430034129692833	0.8725263157894737	0.9522902580706599	0.9063969382176051	0.04770974192934006	0.12747368421052632	1.32	1.24
5X	dataset4	CircleMap	8710.0	10708.0	1212.0	10000.0	1290.0	0.8820478974165566	0.8778472082241484	0.871	0.8919015340706385	0.8744101997791387	0.1080984659293614	0.129	17.34	1.23
5X	dataset4	ecc_finder	4857.0	4857.0	157.0	10000.0	5143.0	0.7370640472292503	0.9686876745113682	0.4857	0.9845426799251747	0.646996136938857	0.015457320074825243	0.5143	1.63	1.0
5X	dataset4	ECCsplorer	6166.0	6241.0	5624.0	10000.0	3834.0	0.6308929128941617	0.5229855810008481	0.6166	0.6400409626216078	0.5659476824231299	0.35995903737839224	0.3834	5.33	1.01
5X	dataset5	Deep_EccScan	8361.0	8469.0	1.0	10000.0	1639.0	0.9180040997950103	0.9998804113848362	0.8361	0.9999000099990001	0.9106851105544058	9.999000099990002e-05	0.1639	1.03	1.01
5X	dataset5	Circle_finder	8026.0	9447.0	503.0	10000.0	1474.0	0.9011648252762086	0.9410247391253371	0.844842105263158	0.9521089212605922	0.8903433357368684	0.04789107873940779	0.1551578947368421	1.02	1.18
5X	dataset5	CircleMap	8228.0	9835.0	977.0	10000.0	1772.0	0.868951709014635	0.8938620315046171	0.8228	0.9109957183201239	0.8568601926581619	0.0890042816798761	0.1772	20.55	1.2
5X	dataset5	ecc_finder	5724.0	5736.0	290.0	10000.0	4276.0	0.7749630359783144	0.9517791819088793	0.5724	0.9718172983479106	0.7148744848257774	0.028182701652089408	0.4276	1.52	1.0
5X	dataset5	ECCsplorer	4913.0	4985.0	12719.0	10000.0	5087.0	0.45579021363733613	0.2786411070780399	0.4913	0.4401602183194683	0.3556022003474232	0.5598397816805317	0.5087	12.13	1.01
